#"timestamp","researcher","monster","latitude","longitude"
"2018-05-22 11:33:19","Randell Chickory","Bigfoot","19.399209","-155.502099"
"2018-05-11 06:57:52","Olivia Morehouse","Stone Golem","61.708147","7.101088"
"2018-05-17 21:17:54","Jenn Dinkle","Wave Ghost","47.057457","-119.311282"
"2018-05-01 13:01:02","Olivia Morehouse","Goblin","61.673988","6.988964"
"2018-05-16 16:17:18","Randell Chickory","Bigfoot","19.371733","-155.462135"
"2018-06-09 19:18:59","Olivia Morehouse","Stone Golem","61.683660","61.683660"
"2018-05-30 14:11:31","Randell Chickory","Lava Rat","19.474322","-155.592217"
"2018-05-25 15:15:13","Olivia Morehouse","Goblin","61.673988","6.988964"
"2018-05-06 12:30:16","Jenn Dinkle","Lake Monster","57.495956","-4.356176"
"2018-06-18 05:42:07","Jenn Dinkle","Lake Monster","57.379443","-4.362267"
"2018-06-29 17:28:36","Randell Chickory","Lava Rat","48.690501","-121.670000"
"2018-07-14 19:55:02","Jenn Dinkle","Giant Squid","46.991342","-121.363092"
"2018-07-02 11:32:12","Randell Chickory","Fire Dragon","19.483942","-155.592148"
"2018-07-10 11:03:17","Jenn Dinkle","Giant Squid","46.991342","-121.363092"
"2018-07-24 21:18:51","Randell Chickory","Giant Squid","19.025406","-155.403319"
"2018-08-09 08:57:15","Jenn Dinkle","Ultrakiller Whale","46.771132","-121.617803"
"2018-07-31 15:20:40","Olivia Morehouse","Crystal Golem","61.709607","7.106895"
"2018-08-05 16:17:14","Olivia Morehouse","Spider of the Deep","61.675137","6.943386"
